Timestamp, Temperature (C), Humidity (%), Ozone (ppb), PM2.5 (ug/m3), PM10 (ug/m3), VOC (ug/m3)
261, nan, nan, 12.39, 0.90, 4.70, 164
271, 16.30, 27.90, 12.84, 1.00, 1.90, 154
281, 16.40, 27.60, 13.32, 1.10, 2.50, 144
291, 16.40, 27.10, 14.35, 1.10, 2.00, 135
301, 16.40, 26.90, 15.50, 1.00, 1.80, 123
311, 16.10, 22.70, 16.12, 0.90, 1.40, 114
321, 16.00, 26.20, 16.12, 1.00, 1.60, 111
331, 15.90, 24.10, 16.12, 1.10, 1.70, 110
341, 15.60, 26.60, 16.12, 1.00, 1.90, 105
351, 15.70, 27.20, 16.77, 1.00, 1.70, 104
361, 15.60, 27.00, 16.77, 0.90, 1.50, 104
371, 15.70, 27.00, 17.46, 0.80, 1.00, 99
381, 15.70, 27.40, 17.46, 0.80, 1.00, 97
392, 15.20, 27.40, 17.46, 0.80, 1.00, 96
402, 15.30, 27.30, 18.19, 0.90, 1.00, 94
412, 15.00, 27.10, 18.19, 0.90, 1.00, 91
422, 14.90, 27.50, 18.97, 1.00, 1.10, 89
432, 14.80, 28.10, 18.97, 1.00, 1.20, 87
442, 14.80, 28.30, 18.97, 1.00, 1.20, 86
452, 14.90, 28.80, 18.97, 0.90, 1.40, 84
462, 15.00, 29.40, 19.79, 0.90, 1.30, 82
472, 15.20, 29.00, 19.79, 0.90, 1.40, 83
482, 15.40, 28.30, 19.79, 1.00, 1.70, 82
492, 15.40, 28.70, 20.66, 1.10, 1.80, 81
502, 15.50, 29.00, 20.66, 1.00, 1.80, 79
512, 15.30, 28.80, 20.66, 1.10, 1.20, 79
523, 15.40, 28.80, 21.58, 1.00, 1.80, 79
533, 15.40, 29.10, 22.56, 0.90, 1.60, 73
543, 15.40, 28.20, 22.56, 0.80, 1.80, 74
553, 15.60, 27.80, 22.56, 0.90, 1.90, 74
563, 15.80, 28.30, 23.61, 1.00, 1.80, 72
573, 16.00, 28.30, 23.61, 0.90, 1.60, 72
583, 16.00, 28.50, 27.17, 0.90, 0.90, 61
593, 16.10, 28.30, 27.17, 0.90, 1.10, 61
603, 16.00, 27.70, 27.17, 0.90, 1.00, 59
613, 16.10, 27.60, 27.17, 1.10, 1.70, 60
623, 16.10, 27.40, 27.17, 1.00, 1.60, 62
633, 16.20, 27.30, 27.17, 1.00, 1.70, 62
643, 16.20, 27.50, 28.53, 0.90, 1.10, 58
653, 15.60, 27.30, 28.53, 0.90, 1.10, 59
664, 15.10, 27.60, 28.53, 0.90, 1.20, 61
674, 15.20, 28.40, 28.53, 1.00, 1.20, 62
684, 15.40, 28.90, 27.17, 1.00, 1.20, 62
694, 15.50, 28.90, 28.53, 1.10, 1.50, 61
704, 15.70, 28.80, 28.53, 0.90, 1.30, 61
714, 15.70, 28.60, 28.53, 0.90, 1.20, 61
724, 15.90, 28.50, 29.98, 0.90, 1.40, 59
734, 15.60, 27.80, 29.98, 0.80, 1.80, 57
744, 15.30, 28.40, 29.98, 0.80, 1.80, 58
754, 15.30, 28.60, 29.98, 0.80, 1.30, 56
764, 15.50, 28.20, 29.98, 0.80, 1.10, 55
774, 15.60, 27.70, 29.98, 0.80, 1.40, 57
784, 15.80, 27.80, 29.98, 0.90, 1.50, 57
794, 15.80, 27.90, 29.98, 1.00, 1.40, 57
805, 15.80, 28.00, 31.53, 0.80, 1.10, 53
815, 15.90, 27.90, 31.53, 0.80, 1.90, 52
825, 16.00, 27.70, 33.20, 0.90, 2.00, 50
835, 16.00, 27.30, 33.20, 1.00, 2.20, 50
845, 16.10, 26.90, 33.20, 1.00, 1.30, 51
855, 16.20, 26.80, 33.20, 1.00, 1.20, 52
865, 16.40, 27.10, 33.20, 1.00, 1.10, 53
875, 16.60, 27.40, 33.20, 0.90, 1.10, 52
885, 16.70, 27.60, 34.99, 0.90, 1.20, 48
895, 16.70, 27.30, 34.99, 0.90, 1.30, 49
905, 16.70, 26.70, 36.92, 0.90, 1.40, 46
915, 16.60, 26.60, 36.92, 1.00, 1.60, 47
925, 16.40, 26.80, 39.00, 1.10, 1.60, 44
935, 16.40, 26.50, 36.92, 1.10, 1.50, 46
946, 16.30, 26.60, 36.92, 0.90, 1.10, 46
956, 16.40, 26.60, 39.00, 0.90, 1.20, 47
966, 16.50, 26.80, 39.00, 0.90, 1.10, 45
976, 16.40, 26.90, 39.00, 0.90, 1.20, 44
986, 16.30, 26.90, 39.00, 0.80, 1.10, 43
996, 16.30, 27.00, 41.25, 0.90, 1.30, 43
1006, 16.30, 27.10, 41.25, 0.90, 1.10, 42
1016, 16.10, 27.30, 41.25, 0.90, 1.10, 42
1026, 16.00, 27.00, 43.69, 0.80, 1.10, 42
1036, 15.90, 27.10, 43.69, 0.90, 1.30, 39
1046, 15.80, 27.10, 43.69, 1.10, 1.70, 40
1056, 15.70, 27.10, 43.69, 1.10, 1.50, 41
1066, 15.40, 27.50, 43.69, 1.10, 2.20, 40
1076, 15.40, 27.80, 43.69, 1.00, 1.80, 40
1087, 15.40, 27.60, 46.32, 1.00, 1.80, 38
1097, 15.40, 27.50, 46.32, 0.80, 1.40, 38
1107, 15.30, 27.20, 49.19, 0.80, 1.50, 38
1117, 15.20, 27.20, 49.19, 0.90, 2.10, 39
1127, 15.10, 27.70, 49.19, 1.00, 2.30, 41
1137, 15.10, 28.10, 49.19, 1.00, 2.90, 40
1147, 15.20, 28.10, 49.19, 0.90, 2.40, 38
1157, 15.20, 27.90, 46.32, 1.00, 2.30, 39
1167, 15.30, 28.20, 46.32, 1.10, 1.90, 40
1177, 15.20, 28.20, 49.19, 1.20, 2.00, 40
1187, 15.20, 28.30, 49.19, 0.90, 1.30, 41
1197, 15.20, 28.20, 46.32, 0.90, 1.10, 39
1207, 15.30, 28.20, 49.19, 0.70, 1.00, 39
1218, 15.40, 28.10, 49.19, 0.90, 1.20, 37
1228, 15.30, 27.90, 49.19, 0.90, 1.50, 38
1238, 15.50, 27.70, 49.19, 0.90, 1.50, 39
1248, 15.60, 27.80, 52.31, 1.00, 1.80, 37
1258, 15.60, 27.60, 52.31, 0.90, 1.30, 37
1268, 15.50, 27.60, 52.31, 0.90, 1.40, 35
1278, 15.50, 27.80, 52.31, 0.70, 1.00, 35
1288, 15.30, 27.40, 52.31, 0.80, 0.90, 36
1298, 15.00, 27.60, 52.31, 0.80, 0.90, 35
1308, 15.00, 28.00, 52.31, 1.00, 1.10, 37
1318, 15.00, 27.90, 52.31, 0.90, 1.30, 38
1328, 15.10, 28.10, 52.31, 1.00, 1.60, 34
1338, 15.20, 28.10, 52.31, 1.20, 1.80, 35
1348, 15.40, 27.90, 49.19, 1.30, 2.10, 37
1359, 15.50, 28.00, 49.19, 1.30, 2.10, 37
1369, 15.70, 28.50, 49.19, 1.00, 1.80, 36
1379, 15.70, 28.30, 52.31, 1.20, 2.90, 35
1389, 15.70, 27.90, 52.31, 1.10, 2.90, 36
1399, 15.90, 27.80, 52.31, 1.10, 3.20, 36
1409, 16.00, 27.50, 55.71, 0.90, 1.60, 33
1419, 16.00, 27.30, 55.71, 0.90, 1.30, 33
1429, 16.00, 27.30, 55.71, 0.90, 1.00, 35
1439, 16.00, 27.30, 52.31, 0.80, 1.40, 36
1449, 16.00, 27.20, 52.31, 0.90, 1.50, 36
1459, 16.00, 27.20, 52.31, 0.90, 1.80, 35
1469, 16.10, 27.10, 55.71, 1.00, 1.50, 35
1479, 16.10, 27.20, 55.71, 1.00, 1.70, 36
1489, 16.10, 27.30, 55.71, 1.00, 1.50, 34
1500, 16.10, 27.10, 55.71, 1.00, 1.30, 33
1510, 16.10, 27.00, 55.71, 1.10, 1.40, 33
1520, 16.00, 26.80, 59.43, 1.00, 1.30, 33
1530, 15.90, 26.60, 59.43, 1.00, 1.30, 30
1540, 15.90, 26.90, 59.43, 1.00, 1.10, 31
1550, 15.80, 26.90, 55.71, 1.10, 1.60, 32
1560, 15.80, 27.20, 59.43, 1.20, 1.70, 32
1570, 15.90, 27.50, 59.43, 1.30, 2.10, 34
1580, 16.00, 27.70, 55.71, 1.20, 1.60, 33
1590, 15.90, 27.50, 59.43, 1.10, 2.30, 34
1600, 15.90, 27.30, 59.43, 1.10, 2.10, 32
1610, 15.90, 27.20, 59.43, 1.10, 3.60, 33
1620, 15.90, 27.40, 59.43, 1.10, 2.80, 33
1631, 16.00, 27.20, 59.43, 1.00, 3.20, 33
1641, 16.20, 27.30, 59.43, 1.10, 1.70, 34
1651, 16.30, 27.40, 55.71, 1.00, 1.70, 35
1661, 16.40, 27.40, 59.43, 0.90, 1.20, 37
1671, 16.50, 27.20, 55.71, 1.00, 1.10, 36
1681, 16.60, 27.10, 55.71, 0.90, 1.00, 36
1691, 16.70, 27.40, 55.71, 1.00, 1.10, 37
1701, 16.80, 27.70, 59.43, 0.80, 1.20, 35
1711, 16.60, 27.50, 59.43, 0.90, 1.60, 33
1721, 16.60, 26.80, 59.43, 0.90, 1.60, 34
1731, 16.50, 26.90, 59.43, 0.90, 1.50, 35
1741, 16.60, 27.40, 59.43, 0.90, 1.40, 34
1751, 16.70, 27.40, 59.43, 0.90, 1.40, 32
1761, 16.60, 27.20, 63.51, 0.90, 1.50, 33
1772, 16.50, 26.80, 63.51, 0.80, 1.30, 31
1782, 16.20, 26.40, 63.51, 0.90, 1.60, 31
1792, 16.20, 26.50, 63.51, 0.90, 1.30, 31
1802, 16.00, 26.70, 63.51, 1.00, 1.50, 31
1812, 15.90, 26.80, 63.51, 1.00, 1.10, 31
1822, 15.90, 26.70, 63.51, 1.00, 1.40, 31
1832, 16.10, 26.80, 63.51, 1.00, 1.40, 31
1842, 16.10, 26.60, 63.51, 1.00, 1.50, 32
1852, 16.00, 26.60, 63.51, 1.00, 1.30, 32
1862, 16.10, 26.70, 63.51, 0.90, 1.10, 32
1872, 16.10, 26.90, 63.51, 1.00, 1.30, 32
1882, 16.20, 27.10, 63.51, 1.10, 1.50, 32
1892, 16.20, 27.20, 67.99, 1.20, 1.90, 30
1902, 16.10, 27.00, 63.51, 1.10, 1.50, 31
1913, 15.70, 27.40, 63.51, 1.00, 1.50, 32
1923, 15.80, 27.60, 67.99, 1.10, 2.60, 32
1933, 15.90, 27.50, 63.51, 1.00, 2.60, 33
1943, 16.00, 27.90, 63.51, 1.00, 2.30, 34
1953, 16.10, 28.10, 63.51, 0.80, 0.90, 34
1963, 16.20, 28.10, 63.51, 0.80, 1.00, 33
1973, 16.00, 27.70, 63.51, 0.90, 1.10, 34
1983, 16.10, 27.90, 63.51, 1.00, 1.70, 34
1993, 16.30, 28.10, 63.51, 1.10, 2.30, 35
2003, 16.60, 28.30, 63.51, 1.10, 2.20, 35
2013, 16.80, 28.10, 63.51, 1.00, 1.90, 34
2023, 16.90, 27.80, 63.51, 0.90, 1.50, 34
2033, 16.70, 27.20, 63.51, 0.90, 1.70, 34
2044, 16.70, 26.90, 67.99, 0.80, 1.50, 33
2054, 16.80, 26.90, 67.99, 1.00, 1.40, 33
2064, 16.80, 26.50, 67.99, 1.00, 1.30, 32
2074, 16.90, 26.20, 67.99, 1.00, 1.30, 32
2084, 16.80, 26.30, 67.99, 1.00, 1.60, 32
2094, 16.80, 26.30, 72.92, 1.00, 1.90, 31
2104, 16.70, 26.00, 72.92, 1.10, 1.90, 31
2114, 16.60, 26.30, 67.99, 1.00, 1.60, 30
2124, 16.60, 26.40, 67.99, 0.90, 1.10, 31
2134, 16.60, 26.70, 67.99, 0.90, 1.10, 32
2144, 16.70, 26.80, 72.92, 0.90, 1.80, 32
2154, 16.80, 27.00, 67.99, 0.90, 1.70, 30
2164, 16.90, 26.70, 72.92, 1.00, 1.80, 31
2174, 16.80, 26.10, 72.92, 0.90, 1.00, 31
2185, 16.70, 25.90, 72.92, 1.10, 1.40, 31
2195, 16.60, 26.30, 72.92, 1.20, 1.50, 31
2205, 16.50, 26.60, 72.92, 1.30, 1.80, 32
2215, 16.60, 27.30, 72.92, 1.10, 1.60, 33
2225, 16.60, 27.40, 72.92, 1.00, 1.40, 31
2235, 16.60, 27.20, 72.92, 0.80, 1.30, 30
2245, 16.60, 27.50, 72.92, 0.90, 1.40, 31
2255, 16.60, 28.10, 72.92, 1.00, 1.50, 31
2265, 16.60, 28.60, 72.92, 1.00, 1.40, 30
2275, 16.50, 27.60, 72.92, 0.90, 1.50, 31
2285, 16.60, 27.30, 72.92, 1.00, 1.60, 30
2295, 16.70, 26.90, 72.92, 1.00, 2.40, 30
2305, 16.40, 27.00, 72.92, 1.10, 2.40, 31
2315, 16.50, 27.50, 72.92, 1.00, 2.20, 31
2326, 16.60, 27.60, 72.92, 1.00, 1.50, 30
2336, 16.60, 27.70, 72.92, 1.00, 1.70, 29
2346, 16.50, 27.40, 72.92, 0.90, 1.40, 30
2356, 16.60, 26.70, 72.92, 0.90, 1.90, 30
2366, 16.50, 26.60, 78.37, 1.00, 1.40, 29
2376, 16.50, 26.10, 78.37, 1.10, 2.00, 29
2386, 16.40, 26.30, 78.37, 1.20, 1.70, 29
2396, 16.30, 26.40, 78.37, 1.10, 1.90, 29
2406, 16.10, 26.70, 78.37, 1.00, 1.80, 29
2416, 16.10, 26.90, 78.37, 0.90, 2.90, 28
2426, 16.10, 26.80, 78.37, 0.90, 2.70, 28
2436, 15.80, 26.60, 78.37, 1.00, 2.40, 29
2446, 15.80, 26.70, 78.37, 1.10, 1.30, 29
2457, 15.90, 26.90, 78.37, 1.10, 1.50, 29
2467, 15.90, 26.70, 72.92, 1.20, 1.60, 29
2477, 16.00, 26.70, 78.37, 1.10, 1.70, 30
2487, 16.10, 26.90, 78.37, 1.00, 1.60, 30
2497, 16.20, 26.70, 78.37, 1.00, 2.50, 30
2507, 16.10, 26.60, 78.37, 1.00, 2.20, 31
2517, 16.00, 26.00, 78.37, 1.00, 2.40, 30
2527, 16.00, 26.10, 78.37, 1.00, 1.50, 28
2537, 15.70, 25.80, 78.37, 1.00, 2.00, 27
2547, 15.10, 25.10, 78.37, 1.10, 2.00, 28
2557, 15.10, 25.10, 78.37, 1.20, 2.20, 28
2567, 15.10, 25.10, 78.37, 1.20, 2.70, 29
2577, 15.10, 25.30, 84.40, 1.10, 2.30, 28
2587, 15.00, 25.30, 84.40, 1.00, 2.40, 27
2598, 14.90, 25.50, 78.37, 0.90, 1.30, 28
2608, 14.90, 25.50, 78.37, 1.00, 2.00, 28
2618, 15.00, 25.80, 78.37, 0.80, 1.50, 29
2628, 15.00, 26.40, 84.40, 0.90, 1.50, 28
2638, 15.20, 27.00, 84.40, 0.90, 1.10, 27
2648, 15.10, 26.50, 84.40, 1.00, 1.30, 27
